date,downloads,year,month
2022-02-18,42041,2022,2
2022-03-18,33736,2022,3
2022-04-19,64455,2022,4
2022-05-20,104540,2022,5
2022-06-20,55854,2022,6
2022-07-18,50475,2022,7
2022-08-21,43431,2022,8
2022-09-20,48254,2022,9
2022-10-22,56511,2022,10
2022-11-24,127924,2022,11
2022-12-17,60565,2022,12
2023-01-18,65484,2023,1
2023-02-17,64060,2023,2
2023-03-20,52524,2023,3
2023-04-21,33852,2023,4
2023-05-18,66459,2023,5
2023-06-19,30551,2023,6
2023-07-19,36491,2023,7
2023-08-21,27352,2023,8
2023-09-21,101527,2023,9
2023-10-18,65836,2023,10
2023-11-20,23138,2023,11
2023-12-20,131759,2023,12
2024-01-23,167479,2024,1
2024-02-21,164952,2024,2
2024-03-18,159399,2024,3
2024-04-18,275887,2024,4
2024-05-20,192171,2024,5
2024-06-20,211762,2024,6
2024-07-20,166325,2024,7
2024-08-19,135123,2024,8
2024-09-19,229570,2024,9
2024-10-25,235023,2024,10
2024-11-19,234094,2024,11
2024-12-22,169997,2024,12
2025-01-20,209335,2025,1
2025-02-19,368305,2025,2
2025-03-18,211368,2025,3
2025-04-22,274813,2025,4
2025-05-21,291004,2025,5
2025-06-20,221321,2025,6
2025-07-22,232730,2025,7
2025-08-20,147435,2025,8
2025-09-21,147327,2025,9
2025-10-29,193078,2025,10
2025-11-18,943817,2025,11
2025-12-18,1961105,2025,12
2026-01-23,5659674,2026,1
